"idea","outcome","score","type","user.submitted"
"Income to poverty ratio","eviction",93.1034,"experts",FALSE
"Household income","eviction",88.2353,"experts",FALSE
"Father's incarceration","eviction",85.7143,"experts",TRUE
"Mother's incarceration","eviction",79.1667,"experts",TRUE
"Divorce or separation","eviction",72.093,"experts",FALSE
"Never-married mother","eviction",69.0476,"experts",TRUE
"Father absent at time of birth","eviction",68.5714,"experts",TRUE
"Child's race","eviction",66.6667,"experts",FALSE
"Mother's non-standard work hours","eviction",61.5385,"experts",TRUE
"Mother's age at childbirth","eviction",61.1111,"experts",TRUE
"Mother's multiple-job holding","eviction",57.1429,"experts",TRUE
"Domestic violence","eviction",55.1724,"experts",TRUE
"Household size","eviction",53.3333,"experts",FALSE
"Father's multiple-job holding","eviction",51.7241,"experts",TRUE
"Father's education","eviction",51.6129,"experts",FALSE
"Mother's education","eviction",46.1538,"experts",FALSE
"Existing number of siblings","eviction",40.4762,"experts",TRUE
"Father's non-standard work hours","eviction",38.2353,"experts",TRUE
"Foreign-born mother","eviction",38.0952,"experts",TRUE
"Parents are in cohabiting partnership","eviction",36.8421,"experts",TRUE
"Number of parental romantic relationships","eviction",36.3636,"experts",TRUE
"Father's age at childbirth","eviction",32.2581,"experts",TRUE
"Mother's prenatal smoking","eviction",29.4118,"experts",TRUE
"Foreign-born father","eviction",25.8065,"experts",TRUE
"School quality","eviction",21.875,"experts",TRUE
"Child's birth weight","eviction",7.5,"experts",TRUE
"Child's gender","eviction",2.32558,"experts",FALSE
"Income to poverty ratio","gpa",85,"experts",FALSE
"Mother's education","gpa",82.6087,"experts",FALSE
"Mother's incarceration","gpa",82.3529,"experts",TRUE
"Mother's prenatal smoking","gpa",78.9474,"experts",TRUE
"Father's incarceration","gpa",75,"experts",TRUE
"School quality","gpa",66.6667,"experts",TRUE
"Mother's age at childbirth","gpa",66.6667,"experts",TRUE
"Divorce or separation","gpa",66.6667,"experts",FALSE
"Household income","gpa",66.6667,"experts",FALSE
"Child's birth weight","gpa",57.8947,"experts",TRUE
"Never-married mother","gpa",57.1429,"experts",TRUE
"Father absent at time of birth","gpa",56,"experts",TRUE
"Household size","gpa",47.619,"experts",FALSE
"Teacher quality","gpa",47.3684,"experts",TRUE
"Number of parental romantic relationships","gpa",44.4444,"experts",TRUE
"Foreign-born mother","gpa",44,"experts",TRUE
"Father's education","gpa",43.4783,"experts",FALSE
"Child's race","gpa",41.6667,"experts",FALSE
"Mother's non-standard work hours","gpa",41.1765,"experts",TRUE
"Existing number of siblings","gpa",39.1304,"experts",TRUE
"Father's age at childbirth","gpa",36.3636,"experts",TRUE
"Foreign-born father","gpa",31.8182,"experts",TRUE
"Father's non-standard work hours","gpa",28.5714,"experts",TRUE
"Father's multiple-job holding","gpa",25,"experts",TRUE
"Child's gender","gpa",21.7391,"experts",FALSE
"Mother's multiple-job holding","gpa",13.6364,"experts",TRUE
"Parents are in cohabiting partnership","gpa",6.25,"experts",TRUE
"Mother's incarceration","grit",85.7143,"experts",TRUE
"Household income","grit",83.3333,"experts",FALSE
"School quality","grit",80,"experts",TRUE
"Number of parental romantic relationships","grit",80,"experts",TRUE
"Father's incarceration","grit",75,"experts",TRUE
"Father's education","grit",75,"experts",FALSE
"Income to poverty ratio","grit",75,"experts",FALSE
"Never-married mother","grit",66.6667,"experts",TRUE
"Child's gender","grit",66.6667,"experts",FALSE
"Father absent at time of birth","grit",60,"experts",TRUE
"Existing number of siblings","grit",60,"experts",TRUE
"Teacher quality","grit",50,"experts",TRUE
"Father's multiple-job holding","grit",50,"experts",TRUE
"Child's race","grit",50,"experts",FALSE
"Mother's education","grit",50,"experts",FALSE
