Idea Text,FF Var Description,FF Varname
Income to poverty ratio,Poverty Ratio,c**inpov/c**povco
Household income,Household Income,c**hhinc
Father's incarceration,Have you ever spent time in a correctional institution? ,f3i29
Mother's incarceration,Have you ever spent time in a correctional institution? ,m3i29
Divorce or separation,Are mother and father divorced or separated from each other? (Mother),m2a8c
Never-married mother,Constructed - Mother relationship with father at nine-year follow-up (no relationship = 7),cm5relf
Father absent at time of birth,Will the father's name be on the birth certificate? ,m1a6
Child's race,Mother's race,m1h3
,Father's race,f1h3
Mother's non-standard work hours,K17L. My work hours prevent me from visiting child,m5k17l
,I16A. My shift and work schedule cause extra stress for me and my child,m5i16a
,Always/sometimes/never-my work schedule causes extra stress,m2k13a
,How often true: My shift/schedule causes extra stress for me/child?,m3k16a
,True/not true: My shift & work schedule cause extra stress for me & child,m4k16a
Mother's age at childbirth,Constructed - Mother's age (years),cm1age
,Constructed - Mother's age at her first birth (12 months),cm2fbir
Mother's multiple-job holding,"In past year, did you work more than one job at a time?",m3k17
,"When you were working more than one job, how many hours did you work?",m3k18
,"When you worked more than one job, how many hrs a wk total did you work?",m2k14a
Domestic violence,Why relationship ended: violence/abuse?,**a8b_7
,Domestic violence or child abuse,m5b30a1_10/m5f26b2_10/m5f28a_10/f5b26x_10/f5f26b2_10/f5f28a_10
,INT CHK: HAS MOTHER EVER BEEN SLAPPED OR KICKED BY FATHER?,m3d7m
,Has father ever slapped or kicked you in front of child?,m3d7n
,Has father ever slapped or kicked you while child was in the house?,m3d7n1
,INT CHK: HAS MOTHER EVER BEEN HIT BY FATHER?,m3d7o
,INT CHK: HAS MOTHER EVER BEEN SLAPPED OR KICKED BY FATHER?,m3d9m
,Has father ever slapped or kicked you in front of child?,m3d9n
,Has father ever slapped or kicked you while child was in the house?,m3d9n1
,INT CHK: HAS MOTHER EVER BEEN HIT BY FATHER?,m3d9o
,INT CHK: HAS MOTHER EVER BEEN SLAPPED OR KICKED BY CP?,m3e23o
,Has CP ever slapped or kicked you in front of child?,m3e23p
,Has CP ever slapped or kicked you while child was in house?,m3e23p1
,INT CHK: HAS MOTHER EVER BEEN HIT BY CP?,m3e23q
,INT CHK: HAS FATHER EVER BEEN SLAPPED OR KICKED BY CHILD'S MOTHER?,f3d7m
,Has mother ever slapped or kicked you in front of child?,f3d7n
,Has mother ever slapped or kicked you while child was in the house?,f3d7n1
,INT CHK: HAS FATHER EVER BEEN HIT BY CHILD'S MOTHER?,f3d7o
,In last month of rel: mom slapped or kicked you?,f3d9h
,In last month of rel: mom hit you with a fist/an object that could hurt you?,f3d9i
,INT CHK: HAS FATHER EVER BEEN SLAPPED OR KICKED BY CHILD'S MOTHER?,f3d9m
,Has mother ever slapped or kicked you in front of child?,f3d9n
,Has mother ever slapped or kicked you while child was in the house?,f3d9n1
,INT CHK: HAS FATHER EVER BEEN HIT BY CHILD'S MOTHER?,f3d9o
,Has mother ever hit you with fist/object that could hurt in front of child?,f3d9p
,Has father ever hit with fist/object that could hurt in front of child?,m3d7p
,Has father ever hit you with fist/object while child was in the house?,m3d7p1
,In last month of rel: did father hit with fist/object that could hurt you?,m3d9i
,Has father ever hit with fist/object that could hurt in front of child?,m3d9p
,Has father ever hit you with fist/object while child was in the house?,m3d9p1
Domestic abuse in family,Why relationship ended: violence/abuse?,**a8b_7
,Domestic violence or child abuse,m5b30a1_10/m5f26b2_10/m5f28a_10/f5b26x_10/f5f26b2_10/f5f28a_10
,INT CHK: HAS MOTHER EVER BEEN SLAPPED OR KICKED BY FATHER?,m3d7m
,Has father ever slapped or kicked you in front of child?,m3d7n
,Has father ever slapped or kicked you while child was in the house?,m3d7n1
,INT CHK: HAS MOTHER EVER BEEN HIT BY FATHER?,m3d7o
,INT CHK: HAS MOTHER EVER BEEN SLAPPED OR KICKED BY FATHER?,m3d9m
,Has father ever slapped or kicked you in front of child?,m3d9n
,Has father ever slapped or kicked you while child was in the house?,m3d9n1
,INT CHK: HAS MOTHER EVER BEEN HIT BY FATHER?,m3d9o
,INT CHK: HAS MOTHER EVER BEEN SLAPPED OR KICKED BY CP?,m3e23o
,Has CP ever slapped or kicked you in front of child?,m3e23p
,Has CP ever slapped or kicked you while child was in house?,m3e23p1
,INT CHK: HAS MOTHER EVER BEEN HIT BY CP?,m3e23q
,INT CHK: HAS FATHER EVER BEEN SLAPPED OR KICKED BY CHILD'S MOTHER?,f3d7m
,Has mother ever slapped or kicked you in front of child?,f3d7n
,Has mother ever slapped or kicked you while child was in the house?,f3d7n1
,INT CHK: HAS FATHER EVER BEEN HIT BY CHILD'S MOTHER?,f3d7o
,In last month of rel: mom slapped or kicked you?,f3d9h
,In last month of rel: mom hit you with a fist/an object that could hurt you?,f3d9i
,INT CHK: HAS FATHER EVER BEEN SLAPPED OR KICKED BY CHILD'S MOTHER?,f3d9m
,Has mother ever slapped or kicked you in front of child?,f3d9n
,Has mother ever slapped or kicked you while child was in the house?,f3d9n1
,INT CHK: HAS FATHER EVER BEEN HIT BY CHILD'S MOTHER?,f3d9o
,Has mother ever hit you with fist/object that could hurt in front of child?,f3d9p
,Has father ever hit with fist/object that could hurt in front of child?,m3d7p
,Has father ever hit you with fist/object while child was in the house?,m3d7p1
,In last month of rel: did father hit with fist/object that could hurt you?,m3d9i
,Has father ever hit with fist/object that could hurt in front of child?,m3d9p
,Has father ever hit you with fist/object while child was in the house?,m3d9p1
Household size,Number of adults in HH,c**adult
,Number of kids in HH,c**kids
Father's multiple-job holding,"In past year, did you work more than one job at a time?",f3k18
,"When you worked more than one job, how many hrs a wk altogether did you work?",f2k19a
Father's education,Father's education: year 9,cf5edu
Mother's education,Mother's education: year 9,cm5edu
Existing number of siblings,Number of kids in HH,c**kids
Father's non-standard work hours,K17L. My work hours prevent me from visiting child,f5k17l
,I16A. My shift and work schedule caused extra stress for me and my child,f5i16a
,How often is it true that-Shift/work schedule cause extra stress?,f2k18a
,How often true: my shift schedule causes extra stress?,f3k17a
,True/not true: My shift & work schedule cause extra stress for me & child,f4k16a
Foreign-born mother,in what country or territory was your mother/father born?,m3h1a/m3h1b
Parents are in cohabiting partnership,is father cohabiting with baby's mother?,cf2cohm
Number of parental romantic relationships,"Before father/mother, how many relationships lasted at least one month?",m3a13/f3a13
Number of parental romantic relationships,Number of romantic relationships you had that lasted at least one month,f5a10/f5a101/m5a10/m5a101
Father's age at childbirth,Constructed - Father's age (years),cf1age
Mother's prenatal smoking,"During the preg, how many cigarettes did you smoke? ",m1g4
Foreign-born father,In what country or territory was your father born?,f3h1a/f3h1b
School quality,INT CHK: IS/WAS CHILD IN DAY CARE/HEAD START/PRESCHOOL/NURSERY SCHOOL/KINDERGART,m4i0
,"Child's school have parent grp, parent advisory commit, PTA, parent org?",m4i0b
,K5D. Problems with safety going to the school made it harder to participate,f5k5d
,"K5E. School does not make family feel welcome, made it harder to participate",f5k5e
,L1A. Type of school child attended last school year,p5l1a
,G4_104. Gifted and talented,t5g4_104
,L13F. Gifted and talented program,p5l13f
,C7F. Child received gifted and talented program,t5c7f
Child's birth weight,Constructed - Low Birth Weight?,cm1lbw
Child's gender,sex_child: Child's gender,hv4sex_child
,Constructed - Focal baby's gender,cm1bsex
Teacher quality,Length of time as schoolteacher,t5g7
Parent's mental health,G2A_101. Mental health,m5g2a_101
Childcare center enrollment,Does person/agency give money to help pay for childcare? ,m4b13
Parents' substance abuse,Mother/Father Alcohol/Drug Dependence,c*3alc_case/c*3drug_case
,"In last yr, did drinking/hangover interfer with your work at school/job/home?",m4j21
,"In last yr, did drinking/hangover interfere with your work at school/job/home?",f4j21
,Drinking/hangover interfered with work at school/job/home during past 12 months,m5g20
,Drinking/hangover interfered with work at school/job/home during past 12 months,f5g20
Mother has chronic illness,G2A_107. Chronic disease or illness,m5g2a_107
Number of times father has missed work,# times in last month missed work/school because care arrangments fell thru?,f2b30a
,Times you missed work/school because child care fell through?,f3b22
Child's exposure to someone smoking,H15C. Hours a day child spends with someone who is smoking,p5h15c
,a24: How many hours/day does child spend in same room w someone who is smoking?,hv4a24
,"Q3CR. Child smokes, chews, or sniffs tobacco",p5q3cr
