Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
11008,679465,Income to poverty ratio,62,4,4,92.6471,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-07-18 21:47:16 UTC,TRUE,37,44,NA
11008,679467,Household income,66,11,2,84.8101,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-07-18 21:47:34 UTC,TRUE,44,46,NA
11008,679599,Father's incarceration,49,9,4,83.3333,TRUE,4984941,2017-06-28 15:51:12 UTC,2017-07-18 21:47:34 UTC,TRUE,39,35,NA
11008,679595,Mother's incarceration,58,12,4,81.9444,TRUE,4984941,2017-06-28 15:49:11 UTC,2017-07-19 08:51:48 UTC,TRUE,47,39,NA
11008,679473,Divorce or separation,58,20,2,73.75,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-07-19 08:51:16 UTC,TRUE,42,47,NA
11008,679732,Domestic violence,45,17,2,71.875,TRUE,4985165,2017-06-28 19:36:22 UTC,2017-07-19 08:52:38 UTC,TRUE,30,42,NA
11008,679590,Mother's non-standard work hours,41,17,9,70.0,TRUE,4984941,2017-06-28 15:45:52 UTC,2017-07-19 08:52:00 UTC,TRUE,38,40,NA
11008,679598,Father absent at time of birth,45,24,5,64.7887,TRUE,4984941,2017-06-28 15:50:30 UTC,2017-07-19 08:52:27 UTC,TRUE,39,48,NA
11008,679470,Mother's education,34,24,4,58.3333,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-07-19 08:52:27 UTC,TRUE,44,33,NA
11008,679594,Mother's age at childbirth,44,33,3,56.962,TRUE,4984941,2017-06-28 15:47:45 UTC,2017-07-18 21:47:56 UTC,TRUE,45,48,NA
11008,679474,Child's race,35,28,5,55.3846,FALSE,4984544,2017-06-28 03:43:43 UTC,2017-07-18 21:47:15 UTC,TRUE,42,35,NA
11008,679591,Never-married mother,42,34,4,55.1282,TRUE,4984941,2017-06-28 15:46:13 UTC,2017-07-18 21:46:30 UTC,TRUE,49,46,NA
11008,679471,Father's education,33,27,7,54.8387,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-07-19 08:51:48 UTC,TRUE,40,37,NA
11008,679585,Mother's multiple-job holding,39,33,5,54.0541,TRUE,4984941,2017-06-28 15:43:56 UTC,2017-07-19 08:51:16 UTC,TRUE,43,43,NA
11008,681474,father impulsivity,0,0,0,50.0,TRUE,4990059,2017-07-10 15:17:21 UTC,2017-07-10 15:17:21 UTC,FALSE,0,0,NA
11008,681473,mother impulsivity,0,0,0,50.0,TRUE,4990059,2017-07-10 15:17:06 UTC,2017-07-10 15:17:06 UTC,FALSE,0,0,NA
11008,681472,maternal depression,0,0,0,50.0,TRUE,4990059,2017-07-10 15:16:52 UTC,2017-07-10 15:16:52 UTC,FALSE,0,0,NA
11008,680868,Parent impulsivity,0,0,0,50.0,TRUE,4988248,2017-07-03 17:24:25 UTC,2017-07-03 17:24:25 UTC,FALSE,0,0,NA
11008,680685,child's race,0,0,0,50.0,TRUE,4987379,2017-06-30 13:59:54 UTC,2017-06-30 13:59:54 UTC,FALSE,0,0,NA
11008,679731,domestic violence (there's a variable at the baseline wave indicating that the father has ever hit or punched the mother),0,0,0,50.0,TRUE,4985155,2017-06-28 19:29:14 UTC,2017-06-28 19:36:09 UTC,FALSE,0,0,NA
11008,679583,Mother's education,0,0,0,50.0,TRUE,4984941,2017-06-28 15:42:40 UTC,2017-06-28 15:48:55 UTC,FALSE,0,0,NA
11008,679469,Father's age,0,0,0,50.0,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-06-28 15:47:22 UTC,FALSE,1,0,NA
11008,679468,Mother's age,0,0,0,50.0,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-06-28 15:47:19 UTC,FALSE,0,0,NA
11008,679600,Father's multiple-job holding,28,30,9,48.3333,TRUE,4984941,2017-06-28 15:51:44 UTC,2017-07-19 08:51:00 UTC,TRUE,38,43,NA
11008,679601,Father's non-standard work hours,31,41,4,43.2432,TRUE,4984941,2017-06-28 15:52:28 UTC,2017-07-19 08:52:04 UTC,TRUE,43,47,NA
11008,679592,Parents are in cohabiting partnership,24,32,3,43.1034,TRUE,4984941,2017-06-28 15:46:42 UTC,2017-07-19 08:51:56 UTC,TRUE,34,36,NA
11008,679589,Number of parental romantic relationships,27,39,5,41.1765,TRUE,4984941,2017-06-28 15:45:23 UTC,2017-07-18 21:43:57 UTC,TRUE,40,42,NA
11008,679472,Household size,24,39,5,38.4615,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-07-18 21:47:56 UTC,TRUE,39,36,NA
11008,679587,Existing number of siblings,27,44,14,38.3562,TRUE,4984941,2017-06-28 15:44:24 UTC,2017-07-19 08:52:41 UTC,TRUE,51,49,NA
11008,679593,Father's age at childbirth,25,45,6,36.1111,TRUE,4984941,2017-06-28 15:47:38 UTC,2017-07-18 21:47:32 UTC,TRUE,51,39,NA
11008,679582,Mother's prenatal smoking,19,56,3,25.974,TRUE,4984941,2017-06-28 15:42:09 UTC,2017-07-19 08:52:33 UTC,TRUE,44,48,NA
