Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
11005,679619,Mother's incarceration,30,3,1,88.5714,TRUE,4984962,2017-06-28 16:13:32 UTC,2017-07-19 08:59:06 UTC,TRUE,23,15,NA
11005,679440,Mother's education,26,4,1,84.375,FALSE,4984536,2017-06-28 03:15:53 UTC,2017-07-16 21:06:05 UTC,TRUE,15,21,NA
11005,679435,Income to poverty ratio,29,5,9,83.3333,FALSE,4984536,2017-06-28 03:15:53 UTC,2017-07-19 08:58:50 UTC,TRUE,25,28,NA
11005,679618,Mother's age at childbirth,29,9,4,75.0,TRUE,4984962,2017-06-28 16:13:18 UTC,2017-07-19 08:59:15 UTC,TRUE,21,26,NA
11005,679608,Father's incarceration,25,8,3,74.2857,TRUE,4984962,2017-06-28 16:10:44 UTC,2017-07-19 08:56:57 UTC,TRUE,17,25,NA
11005,679437,Household income,34,12,2,72.9167,FALSE,4984536,2017-06-28 03:15:53 UTC,2017-07-19 08:59:15 UTC,TRUE,32,24,NA
11005,681027,Neighborhood crime,4,1,2,71.4286,TRUE,4988515,2017-07-04 17:05:48 UTC,2017-07-19 08:56:39 UTC,TRUE,4,4,NA
11005,679605,Father absent at time of birth,25,14,2,63.4146,TRUE,4984962,2017-06-28 16:10:18 UTC,2017-07-19 08:58:34 UTC,TRUE,21,29,NA
11005,679441,Father's education,21,14,4,59.4595,FALSE,4984536,2017-06-28 03:15:53 UTC,2017-07-16 21:04:07 UTC,TRUE,23,24,NA
11005,679626,Never-married mother,20,14,5,58.3333,TRUE,4984962,2017-06-28 16:18:53 UTC,2017-07-19 08:56:50 UTC,TRUE,24,21,NA
11005,679622,Mother's prenatal smoking,21,17,2,55.0,TRUE,4984962,2017-06-28 16:14:07 UTC,2017-07-19 08:58:58 UTC,TRUE,26,19,NA
11005,679625,School quality,16,13,1,54.8387,TRUE,4984962,2017-06-28 16:14:28 UTC,2017-07-19 08:58:39 UTC,TRUE,18,18,NA
11005,679443,Divorce or separation,16,14,3,53.125,FALSE,4984536,2017-06-28 03:15:53 UTC,2017-07-19 08:59:18 UTC,TRUE,22,20,NA
11005,679621,Mother's non-standard work hours,14,13,5,51.7241,TRUE,4984962,2017-06-28 16:13:46 UTC,2017-07-19 08:59:06 UTC,TRUE,23,19,NA
11005,681307,Intelligence,0,0,0,50.0,TRUE,4989486,2017-07-07 19:47:40 UTC,2017-07-07 19:47:40 UTC,FALSE,0,0,NA
11005,680870,Parent warmth/support,0,0,0,50.0,TRUE,4988250,2017-07-03 17:34:39 UTC,2017-07-03 17:34:39 UTC,FALSE,0,0,NA
11005,680687,Peer's household income,0,0,0,50.0,TRUE,4987380,2017-06-30 14:03:14 UTC,2017-06-30 14:03:14 UTC,FALSE,0,0,NA
11005,680686,Peer's GPA,0,0,0,50.0,TRUE,4987380,2017-06-30 14:01:44 UTC,2017-06-30 14:01:44 UTC,FALSE,0,0,NA
11005,680459,"Neighborhood variables (e.g., neighborhood crime, safety)",0,0,0,50.0,TRUE,4986466,2017-06-29 17:17:36 UTC,2017-06-29 17:17:36 UTC,FALSE,0,0,NA
11005,680458,Language spoken in the home (I prefer this to foreign born parent),0,0,0,50.0,TRUE,4986466,2017-06-29 17:17:03 UTC,2017-06-29 17:17:03 UTC,FALSE,0,0,NA
11005,680447,"I'd like to note that mothers' or fathers' nativity status isn't a great indicator of GPA in and of itself. It would depend on ed, coo, etc.",0,0,0,50.0,TRUE,4986466,2017-06-29 17:12:48 UTC,2017-06-29 17:12:48 UTC,FALSE,0,0,NA
11005,679617,Mother's multiple-job holding,0,0,0,50.0,TRUE,4984962,2017-06-28 16:12:23 UTC,2017-06-28 16:12:23 UTC,FALSE,0,0,NA
11005,679616,Mother's incarceration,0,0,0,50.0,TRUE,4984962,2017-06-28 16:12:14 UTC,2017-06-28 16:12:14 UTC,FALSE,0,0,NA
11005,679615,Mother's education,0,0,0,50.0,TRUE,4984962,2017-06-28 16:12:06 UTC,2017-06-28 16:12:06 UTC,FALSE,0,0,NA
11005,679614,Mother's age at childbirth,0,0,0,50.0,TRUE,4984962,2017-06-28 16:11:47 UTC,2017-06-28 16:11:47 UTC,FALSE,0,0,NA
11005,679613,Income to poverty ratio,0,0,0,50.0,TRUE,4984962,2017-06-28 16:11:33 UTC,2017-06-28 16:11:33 UTC,FALSE,0,0,NA
11005,679607,Father's education,0,0,0,50.0,TRUE,4984962,2017-06-28 16:10:37 UTC,2017-06-28 16:10:37 UTC,FALSE,0,0,NA
