Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
16913816,4985106,11005,679605,Father absent at time of birth,679441,Father's education,25284397,23488341,679441,679605,2017-06-28 18:47:13 UTC,2017-06-28 18:47:13 UTC,16.475,"",TRUE,f625d50b3902605e549a4c9ce6dfb0a1,ff_gpa,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913822,4985106,11005,679435,Income to poverty ratio,679604,Existing number of siblings,25284354,23488350,679604,679435,2017-06-28 18:47:42 UTC,2017-06-28 18:47:42 UTC,14.345,"",FALSE,f625d50b3902605e549a4c9ce6dfb0a1,ff_gpa,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913823,4985106,11005,679440,Mother's education,679605,Father absent at time of birth,25284377,23488353,679605,679440,2017-06-28 18:47:47 UTC,2017-06-28 18:47:47 UTC,4.306,"",TRUE,f625d50b3902605e549a4c9ce6dfb0a1,ff_gpa,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913825,4985106,11005,679618,Mother's age at childbirth,679436,Child's gender,25284456,23488354,679436,679618,2017-06-28 18:47:50 UTC,2017-06-28 18:47:50 UTC,2.82,"",TRUE,f625d50b3902605e549a4c9ce6dfb0a1,ff_gpa,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913827,4985106,11005,679611,Foreign-born father,679605,Father absent at time of birth,25284527,23488356,679611,679605,2017-06-28 18:47:54 UTC,2017-06-28 18:47:54 UTC,4.315,"",TRUE,f625d50b3902605e549a4c9ce6dfb0a1,ff_gpa,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913830,4985106,11005,679618,Mother's age at childbirth,679441,Father's education,25284470,23488358,679441,679618,2017-06-28 18:47:59 UTC,2017-06-28 18:47:59 UTC,5.284,"",TRUE,f625d50b3902605e549a4c9ce6dfb0a1,ff_gpa,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913833,4985106,11005,679610,Father's non-standard work hours,679625,School quality,25284724,23488364,679610,679625,2017-06-28 18:48:14 UTC,2017-06-28 18:48:14 UTC,2.895,"",FALSE,f625d50b3902605e549a4c9ce6dfb0a1,ff_gpa,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913834,4985106,11005,679606,Father's age at childbirth,679705,Teacher quality,25286775,23488365,679705,679606,2017-06-28 18:48:19 UTC,2017-06-28 18:48:19 UTC,4.722,"",TRUE,f625d50b3902605e549a4c9ce6dfb0a1,ff_gpa,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913835,4985106,11005,679625,School quality,679620,Mother's multiple-job holding,25284723,23488366,679625,679620,2017-06-28 18:48:24 UTC,2017-06-28 18:48:24 UTC,5.008,"",TRUE,f625d50b3902605e549a4c9ce6dfb0a1,ff_gpa,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913837,4985106,11005,679436,Child's gender,679610,Father's non-standard work hours,25284505,23488367,679436,679610,2017-06-28 18:48:27 UTC,2017-06-28 18:48:27 UTC,2.986,"",TRUE,f625d50b3902605e549a4c9ce6dfb0a1,ff_gpa,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
