Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
16930709,4985954,11006,679629,Father absent at time of birth,679636,Mother's age at childbirth,25285187,23507432,679636,679629,2017-06-29 14:40:53 UTC,2017-06-29 14:40:53 UTC,5.616,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930710,4985954,11006,679644,School quality,679634,Foreign-born father,25285051,23507435,679634,679644,2017-06-29 14:40:57 UTC,2017-06-29 14:40:57 UTC,3.595,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930712,4985954,11006,679642,Number of parental romantic relationships,679453,Divorce or separation,25285024,23507437,679642,679453,2017-06-29 14:41:04 UTC,2017-06-29 14:41:04 UTC,6.943,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930713,4985954,11006,679629,Father absent at time of birth,679634,Foreign-born father,25286650,23507440,679629,679634,2017-06-29 14:41:07 UTC,2017-06-29 14:41:07 UTC,2.645,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930715,4985954,11006,679452,Household size,679630,Father's age at childbirth,25285312,23507441,679630,679452,2017-06-29 14:41:11 UTC,2017-06-29 14:41:11 UTC,3.414,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930716,4985954,11006,679445,Income to poverty ratio,679627,Child's birth weight,25286651,23507444,679445,679627,2017-06-29 14:41:15 UTC,2017-06-29 14:41:15 UTC,4.015,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930718,4985954,11006,679644,School quality,679627,Child's birth weight,25286652,23507445,679644,679627,2017-06-29 14:41:19 UTC,2017-06-29 14:41:19 UTC,4.052,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930723,4985954,11006,679637,Mother's incarceration,679453,Divorce or separation,25285158,23507449,679453,679637,2017-06-29 14:41:25 UTC,2017-06-29 14:41:25 UTC,5.78,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930731,4985954,11006,679451,Father's education,679639,Mother's non-standard work hours,25285095,23507461,679639,679451,2017-06-29 14:41:33 UTC,2017-06-29 14:41:33 UTC,7.486,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930735,4985954,11006,679628,Existing number of siblings,679454,Child's race,25286653,23507472,679454,679628,2017-06-29 14:41:36 UTC,2017-06-29 14:41:36 UTC,2.578,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930741,4985954,11006,679446,Child's gender,679453,Divorce or separation,25280120,23507479,679453,679446,2017-06-29 14:41:40 UTC,2017-06-29 14:41:40 UTC,3.469,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930746,4985954,11006,679628,Existing number of siblings,679633,Father's non-standard work hours,25286654,23507491,679633,679628,2017-06-29 14:41:42 UTC,2017-06-29 14:41:42 UTC,2.621,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930754,4985954,11006,679641,Never-married mother,679635,Foreign-born mother,25285221,23507496,679635,679641,2017-06-29 14:41:46 UTC,2017-06-29 14:41:46 UTC,3.475,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930767,4985954,11006,679637,Mother's incarceration,679630,Father's age at childbirth,25286655,23507504,679637,679630,2017-06-29 14:41:50 UTC,2017-06-29 14:41:50 UTC,3.971,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930788,4985954,11006,679644,School quality,679635,Foreign-born mother,25285135,23507519,679644,679635,2017-06-29 14:41:56 UTC,2017-06-29 14:41:56 UTC,5.204,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930797,4985954,11006,679445,Income to poverty ratio,679452,Household size,25280098,23507541,679445,679452,2017-06-29 14:41:59 UTC,2017-06-29 14:41:59 UTC,2.968,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930804,4985954,11006,679634,Foreign-born father,679630,Father's age at childbirth,25285263,23507552,679634,679630,2017-06-29 14:42:02 UTC,2017-06-29 14:42:02 UTC,2.942,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930840,4985954,11006,679447,Household income,679643,Parents are in cohabiting partnership,25284954,23507561,679447,679643,2017-06-29 14:42:19 UTC,2017-06-29 14:42:19 UTC,16.321,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930848,4985954,11006,679630,Father's age at childbirth,679634,Foreign-born father,25285335,23507601,679630,679634,2017-06-29 14:42:21 UTC,2017-06-29 14:42:21 UTC,1.951,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930862,4985954,11006,679637,Mother's incarceration,679638,Mother's multiple-job holding,25285138,23507609,679637,679638,2017-06-29 14:42:24 UTC,2017-06-29 14:42:24 UTC,2.562,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930883,4985954,11006,679631,Father's incarceration,679630,Father's age at childbirth,25285235,23507625,679630,679631,2017-06-29 14:42:28 UTC,2017-06-29 14:42:28 UTC,4.018,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930896,4985954,11006,679447,Household income,679639,Mother's non-standard work hours,25285075,23507648,679447,679639,2017-06-29 14:42:31 UTC,2017-06-29 14:42:31 UTC,2.908,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930909,4985954,11006,679637,Mother's incarceration,679640,Mother's prenatal smoking,25285090,23507663,679640,679637,2017-06-29 14:42:33 UTC,2017-06-29 14:42:33 UTC,2.086,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930934,4985954,11006,679454,Child's race,679638,Mother's multiple-job holding,25285005,23507676,679638,679454,2017-06-29 14:42:38 UTC,2017-06-29 14:42:38 UTC,4.455,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930960,4985954,11006,679454,Child's race,679635,Foreign-born mother,25285058,23507705,679454,679635,2017-06-29 14:42:43 UTC,2017-06-29 14:42:43 UTC,4.847,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
16930977,4985954,11006,679447,Household income,679635,Foreign-born mother,25285164,23507734,679635,679447,2017-06-29 14:42:47 UTC,2017-06-29 14:42:47 UTC,3.063,"",TRUE,4418bc39786944b9a328600a4bbb0e1f,ff_grit,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",DIRECT_VISIT,FALSE,NA
