Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
11007,679686,Father's incarceration,46,3,1,92.1569,TRUE,4984980,2017-06-28 16:39:34 UTC,2017-07-17 16:53:24 UTC,TRUE,30,25,NA
11007,679693,Mother's incarceration,51,7,2,86.6667,TRUE,4984980,2017-06-28 16:40:18 UTC,2017-07-21 16:14:32 UTC,TRUE,32,34,NA
11007,679455,Income to poverty ratio,61,9,2,86.1111,FALSE,4984544,2017-06-28 03:40:59 UTC,2017-07-21 16:14:15 UTC,TRUE,51,31,NA
11007,679457,Household income,49,9,2,83.3333,FALSE,4984544,2017-06-28 03:40:59 UTC,2017-07-21 16:14:15 UTC,TRUE,35,32,NA
11007,679463,Divorce or separation,44,16,6,72.5806,FALSE,4984544,2017-06-28 03:40:59 UTC,2017-07-17 20:13:29 UTC,TRUE,38,38,NA
11007,679460,Mother's education,48,23,1,67.1233,FALSE,4984544,2017-06-28 03:40:59 UTC,2017-07-21 16:14:19 UTC,TRUE,42,38,NA
11007,679684,Father absent at time of birth,32,16,4,66.0,TRUE,4984980,2017-06-28 16:39:12 UTC,2017-07-10 15:59:10 UTC,TRUE,29,30,NA
11007,680149,Parent's mental health,10,5,0,64.7059,TRUE,4985662,2017-06-29 12:44:50 UTC,2017-07-21 16:13:58 UTC,TRUE,8,8,NA
11007,679697,Mother's non-standard work hours,32,19,4,62.2642,TRUE,4984986,2017-06-28 16:51:39 UTC,2017-07-10 15:57:31 UTC,TRUE,31,30,NA
11007,679699,Never-married mother,35,22,1,61.0169,TRUE,4984986,2017-06-28 16:51:50 UTC,2017-07-17 15:43:35 UTC,TRUE,34,33,NA
11007,679461,Father's education,35,22,4,61.0169,FALSE,4984544,2017-06-28 03:40:59 UTC,2017-07-10 16:00:34 UTC,TRUE,29,41,NA
11007,679464,Child's race,35,24,3,59.0164,FALSE,4984544,2017-06-28 03:40:59 UTC,2017-07-21 16:13:58 UTC,TRUE,35,35,NA
11007,679692,Mother's age at childbirth,26,25,1,50.9434,TRUE,4984980,2017-06-28 16:40:09 UTC,2017-07-21 16:13:25 UTC,TRUE,29,29,NA
11007,684186,These are predictors but they are not causally prior--I think there is a spurious association,0,0,0,50.0,TRUE,4994666,2017-07-21 16:14:41 UTC,2017-07-21 16:14:41 UTC,FALSE,0,0,NA
11007,681477,maternal mental health/depression,0,0,0,50.0,TRUE,4990060,2017-07-10 15:19:38 UTC,2017-07-10 15:19:38 UTC,FALSE,0,0,NA
11007,681476,father impulsivity,0,0,0,50.0,TRUE,4990060,2017-07-10 15:19:01 UTC,2017-07-10 15:19:01 UTC,FALSE,0,0,NA
11007,681475,maternal impulsivity,0,0,0,50.0,TRUE,4990060,2017-07-10 15:18:50 UTC,2017-07-10 15:18:50 UTC,FALSE,0,0,NA
11007,680871,Father provided child support,0,0,0,50.0,TRUE,4988267,2017-07-03 19:06:49 UTC,2017-07-03 19:06:49 UTC,FALSE,0,0,NA
11007,680123,domestic abuse in family,0,0,0,50.0,TRUE,4985580,2017-06-29 11:01:14 UTC,2017-06-29 11:01:14 UTC,FALSE,0,0,NA
11007,680122,parental mental ill health,0,0,0,50.0,TRUE,4985580,2017-06-29 11:00:58 UTC,2017-06-29 11:00:58 UTC,FALSE,0,0,NA
11007,680108,"Immigrant status is generally associated with lower hardship. Also impulsive behavior, social support, race, mother's parents rel status",0,0,0,50.0,TRUE,4985475,2017-06-29 07:38:17 UTC,2017-06-29 07:38:17 UTC,FALSE,0,0,NA
11007,679459,Father's age,0,0,0,50.0,FALSE,4984544,2017-06-28 03:40:59 UTC,2017-06-28 16:05:19 UTC,FALSE,0,0,NA
11007,679458,Mother's age,0,0,0,50.0,FALSE,4984544,2017-06-28 03:40:59 UTC,2017-06-28 16:05:19 UTC,FALSE,0,0,NA
11007,679689,Father's non-standard work hours,32,34,11,48.5294,TRUE,4984980,2017-06-28 16:39:46 UTC,2017-07-21 16:13:38 UTC,TRUE,48,37,NA
11007,680148,Domestic abuse in family,5,6,0,46.1538,TRUE,4985662,2017-06-29 12:44:42 UTC,2017-07-21 16:13:55 UTC,TRUE,6,8,NA
11007,679698,Mother's prenatal smoking,25,32,5,44.0678,TRUE,4984986,2017-06-28 16:51:45 UTC,2017-07-21 16:13:38 UTC,TRUE,36,36,NA
11007,679688,Father's multiple-job holding,16,24,8,40.4762,TRUE,4984980,2017-06-28 16:39:40 UTC,2017-07-17 16:53:20 UTC,TRUE,25,31,NA
11007,679696,Mother's multiple-job holding,22,36,7,38.3333,TRUE,4984986,2017-06-28 16:51:33 UTC,2017-07-17 20:13:29 UTC,TRUE,28,44,NA
11007,679700,Number of parental romantic relationships,19,32,4,37.7358,TRUE,4984986,2017-06-28 16:51:55 UTC,2017-07-21 16:14:19 UTC,TRUE,34,29,NA
11007,679462,Household size,20,36,5,36.2069,FALSE,4984544,2017-06-28 03:40:59 UTC,2017-07-21 16:14:32 UTC,TRUE,34,34,NA
11007,679683,Existing number of siblings,21,38,0,36.0656,TRUE,4984980,2017-06-28 16:39:07 UTC,2017-07-17 16:53:11 UTC,TRUE,30,34,NA
11007,679701,Parents are in cohabiting partnership,17,31,1,36.0,TRUE,4984986,2017-06-28 16:52:03 UTC,2017-07-10 15:20:54 UTC,TRUE,27,32,NA
11007,679702,School quality,15,28,3,35.5556,TRUE,4984986,2017-06-28 16:52:15 UTC,2017-07-17 15:43:12 UTC,TRUE,35,21,NA
11007,679685,Father's age at childbirth,12,33,7,27.6596,TRUE,4984980,2017-06-28 16:39:26 UTC,2017-07-17 16:53:06 UTC,TRUE,28,32,NA
11007,679682,Child's birth weight,13,38,4,26.4151,TRUE,4984980,2017-06-28 16:39:02 UTC,2017-07-17 16:52:42 UTC,TRUE,33,30,NA
11007,679734,Grandparents in the household,4,14,0,25.0,TRUE,4985207,2017-06-28 20:28:33 UTC,2017-07-17 16:53:15 UTC,TRUE,12,10,NA
11007,679691,Foreign-born mother,8,43,6,16.9811,TRUE,4984980,2017-06-28 16:40:02 UTC,2017-07-17 15:43:35 UTC,TRUE,26,37,NA
11007,679690,Foreign-born father,7,54,9,12.6984,TRUE,4984980,2017-06-28 16:39:56 UTC,2017-07-21 16:13:41 UTC,TRUE,39,37,NA
11007,679912,Childcare center enrollment,2,20,1,12.5,TRUE,4985329,2017-06-29 00:02:57 UTC,2017-07-10 16:00:19 UTC,TRUE,9,18,NA
11007,679456,Child's gender,2,45,2,6.12245,FALSE,4984544,2017-06-28 03:40:59 UTC,2017-07-21 16:13:22 UTC,TRUE,27,26,NA
