Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
11008,679465,Income to poverty ratio,45,4,4,90.1961,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-07-10 15:15:49 UTC,TRUE,30,32,NA
11008,679599,Father's incarceration,45,7,2,85.1852,TRUE,4984941,2017-06-28 15:51:12 UTC,2017-07-05 20:57:16 UTC,TRUE,37,28,NA
11008,679467,Household income,51,9,2,83.871,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-07-05 20:56:32 UTC,TRUE,35,36,NA
11008,679595,Mother's incarceration,42,12,2,76.7857,TRUE,4984941,2017-06-28 15:49:11 UTC,2017-07-10 15:15:25 UTC,TRUE,35,29,NA
11008,679732,Domestic violence,35,12,1,73.4694,TRUE,4985165,2017-06-28 19:36:22 UTC,2017-07-10 15:15:32 UTC,TRUE,22,32,NA
11008,679473,Divorce or separation,45,17,2,71.875,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-07-05 20:57:22 UTC,TRUE,34,36,NA
11008,679598,Father absent at time of birth,40,18,4,68.3333,TRUE,4984941,2017-06-28 15:50:30 UTC,2017-07-05 20:57:56 UTC,TRUE,31,42,NA
11008,679590,Mother's non-standard work hours,27,12,9,68.2927,TRUE,4984941,2017-06-28 15:45:52 UTC,2017-07-05 20:57:37 UTC,TRUE,24,32,NA
11008,679594,Mother's age at childbirth,35,20,3,63.1579,TRUE,4984941,2017-06-28 15:47:45 UTC,2017-07-05 18:30:01 UTC,TRUE,31,36,NA
11008,679474,Child's race,31,18,4,62.7451,FALSE,4984544,2017-06-28 03:43:43 UTC,2017-07-05 20:57:09 UTC,TRUE,33,26,NA
11008,679470,Mother's education,23,18,4,55.814,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-07-10 15:15:22 UTC,TRUE,33,22,NA
11008,679591,Never-married mother,36,29,3,55.2239,TRUE,4984941,2017-06-28 15:46:13 UTC,2017-07-10 15:15:32 UTC,TRUE,45,33,NA
11008,679585,Mother's multiple-job holding,29,26,3,52.6316,TRUE,4984941,2017-06-28 15:43:56 UTC,2017-07-05 20:57:40 UTC,TRUE,36,27,NA
11008,679471,Father's education,25,23,6,52.0,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-07-10 15:15:25 UTC,TRUE,30,31,NA
11008,681474,father impulsivity,0,0,0,50.0,TRUE,4990059,2017-07-10 15:17:21 UTC,2017-07-10 15:17:21 UTC,FALSE,0,0,NA
11008,681473,mother impulsivity,0,0,0,50.0,TRUE,4990059,2017-07-10 15:17:06 UTC,2017-07-10 15:17:06 UTC,FALSE,0,0,NA
11008,681472,maternal depression,0,0,0,50.0,TRUE,4990059,2017-07-10 15:16:52 UTC,2017-07-10 15:16:52 UTC,FALSE,0,0,NA
11008,680868,Parent impulsivity,0,0,0,50.0,TRUE,4988248,2017-07-03 17:24:25 UTC,2017-07-03 17:24:25 UTC,FALSE,0,0,NA
11008,680685,child's race,0,0,0,50.0,TRUE,4987379,2017-06-30 13:59:54 UTC,2017-06-30 13:59:54 UTC,FALSE,0,0,NA
11008,679731,domestic violence (there's a variable at the baseline wave indicating that the father has ever hit or punched the mother),0,0,0,50.0,TRUE,4985155,2017-06-28 19:29:14 UTC,2017-06-28 19:36:09 UTC,FALSE,0,0,NA
11008,679583,Mother's education,0,0,0,50.0,TRUE,4984941,2017-06-28 15:42:40 UTC,2017-06-28 15:48:55 UTC,FALSE,0,0,NA
11008,679469,Father's age,0,0,0,50.0,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-06-28 15:47:22 UTC,FALSE,1,0,NA
11008,679468,Mother's age,0,0,0,50.0,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-06-28 15:47:19 UTC,FALSE,0,0,NA
11008,679600,Father's multiple-job holding,20,22,5,47.7273,TRUE,4984941,2017-06-28 15:51:44 UTC,2017-07-10 15:15:17 UTC,TRUE,25,32,NA
11008,679589,Number of parental romantic relationships,21,31,1,40.7407,TRUE,4984941,2017-06-28 15:45:23 UTC,2017-07-10 15:15:46 UTC,TRUE,27,35,NA
11008,679601,Father's non-standard work hours,19,32,4,37.7358,TRUE,4984941,2017-06-28 15:52:28 UTC,2017-07-10 15:15:49 UTC,TRUE,33,34,NA
11008,679593,Father's age at childbirth,21,36,5,37.2881,TRUE,4984941,2017-06-28 15:47:38 UTC,2017-07-05 20:56:38 UTC,TRUE,43,30,NA
11008,679472,Household size,18,31,3,37.2549,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-07-10 15:15:22 UTC,TRUE,31,28,NA
11008,679587,Existing number of siblings,22,39,12,36.5079,TRUE,4984941,2017-06-28 15:44:24 UTC,2017-07-10 15:17:36 UTC,TRUE,43,42,NA
11008,679592,Parents are in cohabiting partnership,12,28,3,30.9524,TRUE,4984941,2017-06-28 15:46:42 UTC,2017-07-10 15:17:40 UTC,TRUE,21,30,NA
11008,679582,Mother's prenatal smoking,17,40,1,30.5085,TRUE,4984941,2017-06-28 15:42:09 UTC,2017-07-05 20:57:22 UTC,TRUE,34,35,NA
11008,679584,School quality,12,43,5,22.807,TRUE,4984941,2017-06-28 15:43:18 UTC,2017-07-10 15:15:28 UTC,TRUE,25,39,NA
11008,679586,Foreign-born mother,8,30,20,22.5,TRUE,4984941,2017-06-28 15:44:08 UTC,2017-07-10 15:17:36 UTC,TRUE,37,33,NA
11008,679602,Foreign-born father,9,35,19,21.7391,TRUE,4984941,2017-06-28 15:53:19 UTC,2017-07-10 15:17:40 UTC,TRUE,38,28,NA
11008,679588,Child's birth weight,8,49,3,15.2542,TRUE,4984941,2017-06-28 15:44:35 UTC,2017-07-05 20:57:58 UTC,TRUE,34,39,NA
11008,679466,Child's gender,3,58,2,6.34921,FALSE,4984544,2017-06-28 03:43:42 UTC,2017-07-10 15:15:46 UTC,TRUE,40,41,NA
