Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
16913562,4985054,11008,679595,Mother's incarceration,679585,Mother's multiple-job holding,25284019,23488033,679595,679585,2017-06-28 18:03:55 UTC,2017-06-28 18:03:55 UTC,8.601,"",TRUE,e27b6f75752e97386a309b5f2fea8f96,ff_eviction,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5",DIRECT_VISIT,FALSE,NA
16913568,4985054,11008,679585,Mother's multiple-job holding,679466,Child's gender,25283759,23488035,679585,679466,2017-06-28 18:04:13 UTC,2017-06-28 18:04:13 UTC,5.058,"",TRUE,e27b6f75752e97386a309b5f2fea8f96,ff_eviction,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5",http://www.allourideas.org/ff_eviction/results,FALSE,NA
16913571,4985054,11008,679473,Divorce or separation,679600,Father's multiple-job holding,25284234,23488041,679600,679473,2017-06-28 18:04:19 UTC,2017-06-28 18:04:19 UTC,5.546,"",TRUE,e27b6f75752e97386a309b5f2fea8f96,ff_eviction,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5",http://www.allourideas.org/ff_eviction/results,FALSE,NA
16913647,4985072,11008,679467,Household income,679587,Existing number of siblings,25283852,23488139,679467,679587,2017-06-28 18:21:39 UTC,2017-06-28 18:21:39 UTC,5.647,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_eviction,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913648,4985072,11008,679473,Divorce or separation,679594,Mother's age at childbirth,25284050,23488143,679594,679473,2017-06-28 18:21:45 UTC,2017-06-28 18:21:45 UTC,5.799,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_eviction,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913649,4985072,11008,679598,Father absent at time of birth,679585,Mother's multiple-job holding,25284123,23488144,679598,679585,2017-06-28 18:21:53 UTC,2017-06-28 18:21:53 UTC,7.951,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_eviction,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913650,4985072,11008,679598,Father absent at time of birth,679591,Never-married mother,25284192,23488145,679591,679598,2017-06-28 18:22:00 UTC,2017-06-28 18:22:00 UTC,6.887,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_eviction,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913651,4985072,11008,679473,Divorce or separation,679587,Existing number of siblings,25283862,23488146,679473,679587,2017-06-28 18:22:07 UTC,2017-06-28 18:22:07 UTC,6.792,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_eviction,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913652,4985072,11008,679591,Never-married mother,679466,Child's gender,25283937,23488148,679466,679591,2017-06-28 18:22:12 UTC,2017-06-28 18:22:12 UTC,4.342,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_eviction,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913653,4985072,11008,679602,Foreign-born father,679600,Father's multiple-job holding,25284280,23488149,679600,679602,2017-06-28 18:22:21 UTC,2017-06-28 18:22:21 UTC,8.815,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_eviction,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
