Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
11006,679447,Household income,19,2,0,86.9565,FALSE,4984544,2017-06-28 03:38:50 UTC,2017-07-06 14:02:14 UTC,TRUE,10,14,NA
11006,679445,Income to poverty ratio,16,2,0,85.0,FALSE,4984544,2017-06-28 03:38:50 UTC,2017-07-06 14:02:26 UTC,TRUE,11,8,NA
11006,679637,Mother's incarceration,18,5,0,76.0,TRUE,4984968,2017-06-28 16:25:19 UTC,2017-07-06 14:02:42 UTC,TRUE,10,15,NA
11006,679450,Mother's education,11,3,0,75.0,FALSE,4984544,2017-06-28 03:38:50 UTC,2017-07-06 14:02:26 UTC,TRUE,5,10,NA
11006,679642,Number of parental romantic relationships,16,5,0,73.913,TRUE,4984968,2017-06-28 16:26:25 UTC,2017-07-05 13:15:35 UTC,TRUE,16,10,NA
11006,679627,Child's birth weight,14,7,0,65.2174,TRUE,4984968,2017-06-28 16:23:49 UTC,2017-07-06 14:02:30 UTC,TRUE,11,12,NA
11006,679706,Teacher quality,15,8,0,64.0,TRUE,4985000,2017-06-28 17:14:25 UTC,2017-07-05 13:18:05 UTC,TRUE,8,15,NA
11006,679640,Mother's prenatal smoking,12,7,0,61.9048,TRUE,4984968,2017-06-28 16:25:41 UTC,2017-07-06 14:02:35 UTC,TRUE,7,13,NA
11006,679452,Household size,16,10,2,60.7143,FALSE,4984544,2017-06-28 03:38:50 UTC,2017-07-06 14:02:30 UTC,TRUE,12,19,NA
11006,679446,Child's gender,9,7,0,55.5556,FALSE,4984544,2017-06-28 03:38:50 UTC,2017-07-06 14:02:19 UTC,TRUE,7,11,NA
11006,679644,School quality,11,9,0,54.5455,TRUE,4984968,2017-06-28 16:26:37 UTC,2017-07-06 14:02:19 UTC,TRUE,11,14,NA
11006,679641,Never-married mother,12,11,0,52.0,TRUE,4984968,2017-06-28 16:25:49 UTC,2017-07-06 14:01:34 UTC,TRUE,10,14,NA
11006,680689,Grit is a highly subjective outcome variable dependent upon cultural biases.,0,0,0,50.0,TRUE,4987383,2017-06-30 14:05:59 UTC,2017-06-30 14:05:59 UTC,FALSE,0,0,NA
11006,680651,parenting quality,0,0,0,50.0,TRUE,4987224,2017-06-30 05:19:04 UTC,2017-06-30 05:19:04 UTC,FALSE,0,0,NA
11006,680650,social support,0,0,0,50.0,TRUE,4987224,2017-06-30 05:15:15 UTC,2017-07-04 17:10:16 UTC,FALSE,0,0,NA
11006,679643,Parents are in cohabiting partnership,12,12,0,50.0,TRUE,4984968,2017-06-28 16:26:31 UTC,2017-07-06 14:02:17 UTC,TRUE,13,13,NA
11006,679449,Father's age,0,0,0,50.0,FALSE,4984544,2017-06-28 03:38:50 UTC,2017-06-28 16:04:47 UTC,FALSE,0,0,NA
11006,679448,Mother's age,0,0,0,50.0,FALSE,4984544,2017-06-28 03:38:50 UTC,2017-06-28 16:04:49 UTC,FALSE,0,0,NA
11006,679638,Mother's multiple-job holding,9,12,0,43.4783,TRUE,4984968,2017-06-28 16:25:26 UTC,2017-07-05 13:17:42 UTC,TRUE,16,9,NA
11006,679628,Existing number of siblings,9,12,0,43.4783,TRUE,4984968,2017-06-28 16:23:58 UTC,2017-07-06 14:02:42 UTC,TRUE,10,15,NA
11006,679636,Mother's age at childbirth,10,14,0,42.3077,TRUE,4984968,2017-06-28 16:25:04 UTC,2017-07-06 14:02:35 UTC,TRUE,19,10,NA
11006,679629,Father absent at time of birth,10,14,1,42.3077,TRUE,4984968,2017-06-28 16:24:05 UTC,2017-07-06 14:02:33 UTC,TRUE,15,11,NA
11006,679454,Child's race,9,13,0,41.6667,FALSE,4984544,2017-06-28 03:38:50 UTC,2017-07-06 14:02:12 UTC,TRUE,16,10,NA
11006,679634,Foreign-born father,8,12,0,40.9091,TRUE,4984968,2017-06-28 16:24:33 UTC,2017-07-06 14:02:28 UTC,TRUE,10,12,NA
11006,679632,Father's multiple-job holding,5,8,0,40.0,TRUE,4984968,2017-06-28 16:24:22 UTC,2017-07-05 13:17:37 UTC,TRUE,8,7,NA
11006,679639,Mother's non-standard work hours,7,12,0,38.0952,TRUE,4984968,2017-06-28 16:25:33 UTC,2017-07-06 14:02:07 UTC,TRUE,16,5,NA
11006,679635,Foreign-born mother,6,11,1,36.8421,TRUE,4984968,2017-06-28 16:24:39 UTC,2017-07-06 14:02:14 UTC,TRUE,13,8,NA
11006,679631,Father's incarceration,5,10,0,35.2941,TRUE,4984968,2017-06-28 16:24:16 UTC,2017-07-05 13:18:05 UTC,TRUE,8,9,NA
11006,679451,Father's education,5,15,0,27.2727,FALSE,4984544,2017-06-28 03:38:50 UTC,2017-07-06 14:02:33 UTC,TRUE,9,14,NA
11006,679453,Divorce or separation,4,21,0,18.5185,FALSE,4984544,2017-06-28 03:38:50 UTC,2017-07-06 14:02:10 UTC,TRUE,16,10,NA
11006,679633,Father's non-standard work hours,2,15,0,15.7895,TRUE,4984968,2017-06-28 16:24:29 UTC,2017-07-05 13:16:54 UTC,TRUE,10,8,NA
11006,679630,Father's age at childbirth,2,15,0,15.7895,TRUE,4984968,2017-06-28 16:24:10 UTC,2017-07-05 13:15:12 UTC,TRUE,9,10,NA
