Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
16964158,4987385,11009,679477,Household income,679671,Foreign-born father,25286109,23545545,679671,679477,2017-06-30 14:07:39 UTC,2017-06-30 14:07:39 UTC,11.845,"",TRUE,8e57d8341ab10d8ab7614e288d9e23b3,ff_layoff,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16964159,4987385,11009,679477,Household income,679483,Divorce or separation,25280349,23545546,679477,679483,2017-06-30 14:07:41 UTC,2017-06-30 14:07:41 UTC,1.441,"",TRUE,8e57d8341ab10d8ab7614e288d9e23b3,ff_layoff,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16964160,4987385,11009,679681,School quality,679675,Mother's multiple-job holding,25286104,23545547,679681,679675,2017-06-30 14:07:47 UTC,2017-06-30 14:07:47 UTC,6.413,"",TRUE,8e57d8341ab10d8ab7614e288d9e23b3,ff_layoff,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16964161,4987385,11009,679673,Mother's age at childbirth,679483,Divorce or separation,25286111,23545549,679483,679673,2017-06-30 14:07:49 UTC,2017-06-30 14:07:49 UTC,1.726,"",TRUE,8e57d8341ab10d8ab7614e288d9e23b3,ff_layoff,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16964162,4987385,11009,679477,Household income,679679,Number of parental romantic relationships,25285970,23545550,679679,679477,2017-06-30 14:07:51 UTC,2017-06-30 14:07:51 UTC,1.934,"",TRUE,8e57d8341ab10d8ab7614e288d9e23b3,ff_layoff,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16964163,4987385,11009,679475,Income to poverty ratio,679677,Mother's prenatal smoking,25286113,23545551,679475,679677,2017-06-30 14:07:55 UTC,2017-06-30 14:07:55 UTC,3.134,"",TRUE,8e57d8341ab10d8ab7614e288d9e23b3,ff_layoff,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16964164,4987385,11009,679677,Mother's prenatal smoking,679675,Mother's multiple-job holding,25286089,23545552,679675,679677,2017-06-30 14:07:56 UTC,2017-06-30 14:07:56 UTC,1.606,"",TRUE,8e57d8341ab10d8ab7614e288d9e23b3,ff_layoff,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16964165,4987385,11009,679671,Foreign-born father,679675,Mother's multiple-job holding,25286114,23545553,679675,679671,2017-06-30 14:07:59 UTC,2017-06-30 14:07:59 UTC,2.01,"",TRUE,8e57d8341ab10d8ab7614e288d9e23b3,ff_layoff,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16964166,4987385,11009,679484,Child's race,679476,Child's gender,25280375,23545554,679476,679484,2017-06-30 14:08:03 UTC,2017-06-30 14:08:03 UTC,3.98,"",TRUE,8e57d8341ab10d8ab7614e288d9e23b3,ff_layoff,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
16964167,4987385,11009,679480,Mother's education,679672,Foreign-born mother,25286075,23545555,679672,679480,2017-06-30 14:08:06 UTC,2017-06-30 14:08:06 UTC,2.363,"",TRUE,8e57d8341ab10d8ab7614e288d9e23b3,ff_layoff,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",DIRECT_VISIT,FALSE,NA
