Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
16913694,4985079,11007,679463,Divorce or separation,679460,Mother's education,25280201,23488192,679460,679463,2017-06-28 18:25:21 UTC,2017-06-28 18:25:21 UTC,6.47,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_material_hardship,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913695,4985079,11007,679464,Child's race,679697,Mother's non-standard work hours,25286344,23488195,679464,679697,2017-06-28 18:25:24 UTC,2017-06-28 18:25:24 UTC,3.055,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_material_hardship,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913697,4985079,11007,679693,Mother's incarceration,679697,Mother's non-standard work hours,25286427,23488196,679693,679697,2017-06-28 18:25:32 UTC,2017-06-28 18:25:32 UTC,8.296,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_material_hardship,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913699,4985079,11007,679460,Mother's education,679697,Mother's non-standard work hours,25286402,23488198,679460,679697,2017-06-28 18:25:35 UTC,2017-06-28 18:25:35 UTC,2.499,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_material_hardship,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913700,4985079,11007,679461,Father's education,679462,Household size,25280194,23488200,679461,679462,2017-06-28 18:25:37 UTC,2017-06-28 18:25:37 UTC,1.655,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_material_hardship,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913701,4985079,11007,679455,Income to poverty ratio,679689,Father's non-standard work hours,25286458,23488201,679689,679455,2017-06-28 18:25:39 UTC,2017-06-28 18:25:39 UTC,2.291,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_material_hardship,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913702,4985079,11007,679697,Mother's non-standard work hours,679701,Parents are in cohabiting partnership,25286399,23488202,679697,679701,2017-06-28 18:25:43 UTC,2017-06-28 18:25:43 UTC,3.481,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_material_hardship,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913703,4985079,11007,679700,Number of parental romantic relationships,679698,Mother's prenatal smoking,25286381,23488203,679698,679700,2017-06-28 18:25:50 UTC,2017-06-28 18:25:50 UTC,7.34,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_material_hardship,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913704,4985079,11007,679455,Income to poverty ratio,679700,Number of parental romantic relationships,25286296,23488204,679455,679700,2017-06-28 18:25:54 UTC,2017-06-28 18:25:54 UTC,3.208,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_material_hardship,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
16913705,4985079,11007,679460,Mother's education,679699,Never-married mother,25286316,23488205,679460,679699,2017-06-28 18:25:56 UTC,2017-06-28 18:25:56 UTC,2.595,"",TRUE,d91ce1e0d7141f64d8a4f32b3c1197f8,ff_material_hardship,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",DIRECT_VISIT,FALSE,NA
