Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
16935551,4986120,11021,679951,Mother's non-standard work hours,679955,Parents are in cohabiting partnership,25293870,23512771,679955,679951,2017-06-29 15:20:59 UTC,2017-06-29 15:20:59 UTC,10.83,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_eviction_mturk,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_3ar1EaNzWpP8pyB,TRUE,NA
16935553,4986120,11021,679961,Household income,679947,Foreign-born mother,25293871,23512775,679947,679961,2017-06-29 15:21:07 UTC,2017-06-29 15:21:07 UTC,7.584,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_eviction_mturk,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_3ar1EaNzWpP8pyB,TRUE,NA
16935554,4986120,11021,679959,Divorce or separation,679955,Parents are in cohabiting partnership,25293872,23512777,679955,679959,2017-06-29 15:21:14 UTC,2017-06-29 15:21:14 UTC,6.634,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_eviction_mturk,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_3ar1EaNzWpP8pyB,TRUE,NA
16935556,4986120,11021,679942,Father's age at childbirth,679947,Foreign-born mother,25293873,23512778,679947,679942,2017-06-29 15:21:19 UTC,2017-06-29 15:21:19 UTC,4.931,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_eviction_mturk,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_3ar1EaNzWpP8pyB,TRUE,NA
16935558,4986120,11021,679940,Existing number of siblings,679955,Parents are in cohabiting partnership,25293874,23512780,679940,679955,2017-06-29 15:21:23 UTC,2017-06-29 15:21:23 UTC,3.359,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_eviction_mturk,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_3ar1EaNzWpP8pyB,TRUE,NA
16935559,4986119,11021,679962,Household size,679959,Divorce or separation,25293869,23512770,679959,679962,2017-06-29 15:21:24 UTC,2017-06-29 15:21:24 UTC,41.185,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_eviction_mturk,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_3ar1EaNzWpP8pyB,TRUE,NA
16935565,4986120,11021,679956,School quality,679954,Number of parental romantic relationships,25293875,23512782,679954,679956,2017-06-29 15:21:36 UTC,2017-06-29 15:21:36 UTC,12.694,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_eviction_mturk,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_3ar1EaNzWpP8pyB,TRUE,NA
16935569,4986119,11021,679949,Mother's incarceration,679942,Father's age at childbirth,25293876,23512783,679942,679949,2017-06-29 15:21:43 UTC,2017-06-29 15:21:43 UTC,19.051,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_eviction_mturk,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_3ar1EaNzWpP8pyB,TRUE,NA
16935571,4986120,11021,679950,Mother's multiple-job holding,679945,Father's non-standard work hours,25293877,23512789,679950,679945,2017-06-29 15:21:44 UTC,2017-06-29 15:21:44 UTC,7.516,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_eviction_mturk,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_3ar1EaNzWpP8pyB,TRUE,NA
16935574,4986122,11021,679950,Mother's multiple-job holding,679947,Foreign-born mother,25293879,23512791,679950,679947,2017-06-29 15:21:50 UTC,2017-06-29 15:21:50 UTC,9.509,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_eviction_mturk,"Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_3ar1EaNzWpP8pyB,TRUE,NA
16935578,4986120,11021,679943,Father's incarceration,679951,Mother's non-standard work hours,25293882,23512799,679943,679951,2017-06-29 15:21:56 UTC,2017-06-29 15:21:56 UTC,11.211,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_eviction_mturk,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_3ar1EaNzWpP8pyB,TRUE,NA
16935579,4986122,11021,679954,Number of parental romantic relationships,679948,Mother's age at childbirth,25293885,23512804,679948,679954,2017-06-29 15:21:56 UTC,2017-06-29 15:21:56 UTC,5.295,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_eviction_mturk,"Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_3ar1EaNzWpP8pyB,TRUE,NA
