Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
16924190,4985738,11020,679919,Father's non-standard work hours,679937,Income to poverty ratio,25293323,23500294,679919,679937,2017-06-29 13:50:51 UTC,2017-06-29 13:50:51 UTC,8.064,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_gpa_mturk,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_2hh1sxOjB2p2tcV,TRUE,NA
16924191,4985738,11020,679928,Number of parental romantic relationships,679934,Father's education,25293327,23500302,679928,679934,2017-06-29 13:50:52 UTC,2017-06-29 13:50:52 UTC,0.649,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_gpa_mturk,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_2hh1sxOjB2p2tcV,TRUE,NA
16924194,4985738,11020,679916,Father's age at childbirth,679917,Father's incarceration,25293329,23500305,679917,679916,2017-06-29 13:50:54 UTC,2017-06-29 13:50:54 UTC,2.313,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_gpa_mturk,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_2hh1sxOjB2p2tcV,TRUE,NA
16924195,4985738,11020,679923,Mother's incarceration,679913,Child's birth weight,25293331,23500309,679913,679923,2017-06-29 13:50:55 UTC,2017-06-29 13:50:55 UTC,0.623,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_gpa_mturk,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_2hh1sxOjB2p2tcV,TRUE,NA
16924196,4985741,11020,679939,Teacher quality,679924,Mother's multiple-job holding,25293326,23500300,679924,679939,2017-06-29 13:50:55 UTC,2017-06-29 13:50:55 UTC,7.379,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_gpa_mturk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_2hh1sxOjB2p2tcV,TRUE,NA
16924197,4985738,11020,679926,Mother's prenatal smoking,679934,Father's education,25293332,23500310,679926,679934,2017-06-29 13:50:56 UTC,2017-06-29 13:50:56 UTC,0.614,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_gpa_mturk,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_2hh1sxOjB2p2tcV,TRUE,NA
16924199,4985738,11020,679934,Father's education,679914,Existing number of siblings,25293334,23500313,679934,679914,2017-06-29 13:50:57 UTC,2017-06-29 13:50:57 UTC,0.913,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_gpa_mturk,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_2hh1sxOjB2p2tcV,TRUE,NA
16924200,4985738,11020,679938,Mother's education,679928,Number of parental romantic relationships,25293335,23500314,679938,679928,2017-06-29 13:50:58 UTC,2017-06-29 13:50:58 UTC,0.529,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_gpa_mturk,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_2hh1sxOjB2p2tcV,TRUE,NA
16924201,4985740,11020,679926,Mother's prenatal smoking,679919,Father's non-standard work hours,25293325,23500299,679926,679919,2017-06-29 13:50:58 UTC,2017-06-29 13:50:58 UTC,9.17,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_gpa_mturk,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_2hh1sxOjB2p2tcV,TRUE,NA
16924203,4985738,11020,679916,Father's age at childbirth,679932,Child's race,25293336,23500315,679916,679932,2017-06-29 13:50:59 UTC,2017-06-29 13:50:59 UTC,1.348,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_gpa_mturk,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0,https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_2hh1sxOjB2p2tcV,TRUE,NA
