Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
11022,679989,Income to poverty ratio,230,100,9,69.5783,FALSE,4985342,2017-06-29 01:21:11 UTC,2017-06-29 15:22:42 UTC,TRUE,181,174,NA
11022,680293,Mother's mental health,99,43,8,69.4444,TRUE,4985952,2017-06-29 14:46:25 UTC,2017-06-29 15:18:46 UTC,TRUE,70,84,NA
11022,680312,Child's participation in sports,27,12,0,68.2927,TRUE,4985952,2017-06-29 15:06:02 UTC,2017-06-29 15:22:03 UTC,TRUE,18,23,NA
11022,680296,Teacher says child works independently,116,55,6,67.6301,TRUE,4985952,2017-06-29 14:52:40 UTC,2017-06-29 15:19:55 UTC,TRUE,78,107,NA
11022,679975,Mother's incarceration,177,99,8,64.0288,FALSE,4985342,2017-06-29 01:21:11 UTC,2017-06-29 15:21:59 UTC,TRUE,157,137,NA
11022,679985,Divorce or separation,184,105,3,63.5739,FALSE,4985342,2017-06-29 01:21:11 UTC,2017-06-29 15:19:01 UTC,TRUE,149,153,NA
11022,680292,Child's participation in chores,127,75,7,62.7451,TRUE,4985952,2017-06-29 14:45:21 UTC,2017-06-29 15:20:25 UTC,TRUE,116,105,NA
11022,679976,Mother's multiple-job holding,189,114,8,62.2951,FALSE,4985342,2017-06-29 01:21:11 UTC,2017-06-29 15:22:22 UTC,TRUE,172,158,NA
11022,679969,Father's incarceration,171,132,11,56.3934,FALSE,4985342,2017-06-29 01:21:11 UTC,2017-06-29 15:22:37 UTC,TRUE,174,150,NA
11022,679982,School quality,189,146,11,56.3798,FALSE,4985342,2017-06-29 01:21:11 UTC,2017-06-29 15:22:27 UTC,TRUE,178,178,NA
11022,679987,Household income,163,128,12,55.9727,FALSE,4985342,2017-06-29 01:21:11 UTC,2017-06-29 15:22:59 UTC,TRUE,166,156,NA
11022,680309,Father's unemployment,43,34,5,55.6962,TRUE,4985952,2017-06-29 15:04:14 UTC,2017-06-29 15:22:30 UTC,TRUE,50,36,NA
11022,679977,Mother's non-standard work hours,173,140,5,55.2381,FALSE,4985342,2017-06-29 01:21:11 UTC,2017-06-29 15:21:25 UTC,TRUE,173,155,NA
11022,679966,Existing number of siblings,176,144,11,54.9689,FALSE,4985342,2017-06-29 01:21:11 UTC,2017-06-29 15:20:12 UTC,TRUE,169,173,NA
