Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
16930711,4985957,11022,679976,Mother's multiple-job holding,679980,Number of parental romantic relationships,25294359,23507436,679980,679976,2017-06-29 14:41:03 UTC,2017-06-29 14:41:03 UTC,5.562,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_grit_mturk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.28 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_85DY4EyjIpLV1VX,TRUE,NA
16930714,4985958,11022,679991,Teacher quality,679982,School quality,25294360,23507438,679991,679982,2017-06-29 14:41:11 UTC,2017-06-29 14:41:11 UTC,11.126,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_grit_mturk,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_85DY4EyjIpLV1VX,TRUE,NA
16930717,4985957,11022,679972,Foreign-born father,679984,Child's race,25294361,23507439,679984,679972,2017-06-29 14:41:16 UTC,2017-06-29 14:41:16 UTC,12.677,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_grit_mturk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.28 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_85DY4EyjIpLV1VX,TRUE,NA
16930719,4985957,11022,679979,Never-married mother,679981,Parents are in cohabiting partnership,25294364,23507446,679981,679979,2017-06-29 14:41:20 UTC,2017-06-29 14:41:20 UTC,3.857,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_grit_mturk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.28 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_85DY4EyjIpLV1VX,TRUE,NA
16930720,4985958,11022,679983,Child's gender,679969,Father's incarceration,25294363,23507443,679983,679969,2017-06-29 14:41:22 UTC,2017-06-29 14:41:22 UTC,10.789,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_grit_mturk,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_85DY4EyjIpLV1VX,TRUE,NA
16930721,4985964,11022,679986,Father's education,679991,Teacher quality,25294371,23507454,679986,679991,2017-06-29 14:41:25 UTC,2017-06-29 14:41:25 UTC,1.835,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_grit_mturk,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_85DY4EyjIpLV1VX,TRUE,NA
16930722,4985957,11022,679982,School quality,679986,Father's education,25294367,23507450,679982,679986,2017-06-29 14:41:25 UTC,2017-06-29 14:41:25 UTC,4.558,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_grit_mturk,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.28 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_85DY4EyjIpLV1VX,TRUE,NA
16930724,4985964,11022,679991,Teacher quality,679982,School quality,25294375,23507458,679982,679991,2017-06-29 14:41:26 UTC,2017-06-29 14:41:26 UTC,1.451,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_grit_mturk,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_85DY4EyjIpLV1VX,TRUE,NA
16930725,4985964,11022,679984,Child's race,679983,Child's gender,25294378,23507462,679984,679983,2017-06-29 14:41:28 UTC,2017-06-29 14:41:28 UTC,1.172,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_grit_mturk,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_85DY4EyjIpLV1VX,TRUE,NA
16930726,4985958,11022,679979,Never-married mother,679965,Child's birth weight,25294370,23507453,679965,679979,2017-06-29 14:41:29 UTC,2017-06-29 14:41:29 UTC,7.713,"",TRUE,f65d5ba581a7cb861083be563619aa18,ff_grit_mturk,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36",https://princetonsurvey.az1.qualtrics.com/jfe/form/SV_85DY4EyjIpLV1VX,TRUE,NA
