Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
11023,680017,Mother's education,256,69,5,78.5933,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:28:43 UTC,TRUE,175,176,NA
11023,680013,Father's education,242,78,1,75.4658,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:28:23 UTC,TRUE,177,161,NA
11023,680014,Household income,210,100,2,67.6282,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:29:27 UTC,TRUE,173,163,NA
11023,680018,Teacher quality,209,110,4,65.4206,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:29:34 UTC,TRUE,175,169,NA
11023,680009,School quality,196,117,3,62.5397,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:28:29 UTC,TRUE,168,172,NA
11023,680016,Income to poverty ratio,188,116,3,61.7647,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:29:34 UTC,TRUE,169,157,NA
11023,679997,Father's multiple-job holding,215,137,14,61.0169,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:29:24 UTC,TRUE,195,187,NA
11023,680003,Mother's multiple-job holding,205,136,10,60.0583,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:28:43 UTC,TRUE,187,190,NA
11023,680004,Mother's non-standard work hours,174,126,6,57.947,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:28:03 UTC,TRUE,160,166,NA
11023,680015,Household size,179,135,3,56.962,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:25:31 UTC,TRUE,171,175,NA
11023,679996,Father's incarceration,168,131,10,56.1462,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:29:27 UTC,TRUE,160,167,NA
11023,680001,Mother's age at childbirth,172,138,15,55.4487,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:29:32 UTC,TRUE,182,164,NA
11023,680002,Mother's incarceration,170,137,2,55.3398,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:28:57 UTC,TRUE,157,172,NA
11023,680469,Father's sense of familial responsibility,6,5,0,53.8462,TRUE,4986343,2017-06-29 17:22:01 UTC,2017-06-29 17:28:57 UTC,TRUE,6,8,NA
11023,680464,Multi-generational household,14,12,0,53.5714,TRUE,4986343,2017-06-29 17:19:14 UTC,2017-06-29 17:29:32 UTC,TRUE,16,11,NA
11023,679998,Father's non-standard work hours,161,153,7,51.2658,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:25:18 UTC,TRUE,167,176,NA
11023,679995,Father's age at childbirth,155,152,16,50.4854,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:53:47 UTC,TRUE,165,179,NA
11023,680472,Parent's engaging their child in their job activities,0,0,0,50.0,TRUE,4986522,2017-06-29 17:24:18 UTC,2017-06-29 17:24:18 UTC,FALSE,0,0,NA
11023,680471,mutual understanding,0,0,0,50.0,TRUE,4986525,2017-06-29 17:23:51 UTC,2017-06-29 17:23:51 UTC,FALSE,0,0,NA
11023,680468,father's sense of familial responsibility,0,0,0,50.0,TRUE,4986500,2017-06-29 17:20:25 UTC,2017-06-29 17:20:25 UTC,FALSE,0,0,NA
11023,680466,mother's motivation during high school,0,0,0,50.0,TRUE,4986500,2017-06-29 17:19:46 UTC,2017-06-29 17:19:46 UTC,FALSE,0,0,NA
11023,680465,You chose Mother's education over Never-married mother,0,0,0,50.0,TRUE,4986508,2017-06-29 17:19:26 UTC,2017-06-29 17:19:26 UTC,FALSE,0,0,NA
11023,680463,parent's education after high school,0,0,0,50.0,TRUE,4986500,2017-06-29 17:19:09 UTC,2017-06-29 17:19:09 UTC,FALSE,0,0,NA
11023,680462,nice,0,0,0,50.0,TRUE,4986508,2017-06-29 17:18:59 UTC,2017-06-29 17:18:59 UTC,FALSE,0,0,NA
11023,680461,father's relationship with mother,0,0,0,50.0,TRUE,4986500,2017-06-29 17:18:40 UTC,2017-06-29 17:18:40 UTC,FALSE,0,0,NA
11023,680460,mother's support network,0,0,0,50.0,TRUE,4986500,2017-06-29 17:18:08 UTC,2017-06-29 17:18:08 UTC,FALSE,0,0,NA
11023,680457,grandparents income,0,0,0,50.0,TRUE,4986500,2017-06-29 17:17:00 UTC,2017-06-29 17:17:00 UTC,FALSE,0,0,NA
11023,680455,are you talking about job training for career or training as a parent?  it isn't clear,0,0,0,50.0,TRUE,4986475,2017-06-29 17:16:16 UTC,2017-06-29 17:16:16 UTC,FALSE,0,0,NA
11023,680452,Amount of children in household,0,0,0,50.0,TRUE,4986485,2017-06-29 17:14:23 UTC,2017-06-29 17:14:23 UTC,FALSE,0,0,NA
11023,680451,Socialization,0,0,0,50.0,TRUE,4986477,2017-06-29 17:14:11 UTC,2017-06-29 17:14:11 UTC,FALSE,0,0,NA
11023,680450,parents upbringing,0,0,0,50.0,TRUE,4986486,2017-06-29 17:13:58 UTC,2017-06-29 17:13:58 UTC,FALSE,0,0,NA
11023,680449,Income level,0,0,0,50.0,TRUE,4986477,2017-06-29 17:13:43 UTC,2017-06-29 17:13:43 UTC,FALSE,0,0,NA
11023,680446,Employment opportunities,0,0,0,50.0,TRUE,4986477,2017-06-29 17:12:42 UTC,2017-06-29 17:12:42 UTC,FALSE,0,0,NA
11023,680445,Household income,0,0,0,50.0,TRUE,4986436,2017-06-29 17:12:31 UTC,2017-06-29 17:12:31 UTC,FALSE,0,0,NA
11023,680444,Also experience with siblings.,0,0,0,50.0,TRUE,4986471,2017-06-29 17:12:18 UTC,2017-06-29 17:12:18 UTC,FALSE,0,0,NA
11023,680443,fathers education,0,0,0,50.0,TRUE,4986464,2017-06-29 17:12:00 UTC,2017-06-29 17:12:00 UTC,FALSE,0,0,NA
11023,680442,SOCIAL STATUS,0,0,0,50.0,TRUE,4986469,2017-06-29 17:11:17 UTC,2017-06-29 17:11:17 UTC,FALSE,0,0,NA
11023,680440,income,0,0,0,50.0,TRUE,4986446,2017-06-29 17:07:51 UTC,2017-06-29 17:07:51 UTC,FALSE,0,0,NA
11023,680439,Father's income,0,0,0,50.0,TRUE,4986436,2017-06-29 17:07:38 UTC,2017-06-29 17:07:38 UTC,FALSE,0,0,NA
11023,680438,Parental education level when the child is young are not limited to academic achievement throughout school years,0,0,0,50.0,TRUE,4986407,2017-06-29 17:07:31 UTC,2017-06-29 17:07:31 UTC,FALSE,0,0,NA
11023,680437,Mother's education,0,0,0,50.0,TRUE,4986436,2017-06-29 17:07:18 UTC,2017-06-29 17:07:18 UTC,FALSE,0,0,NA
11023,680436,parent's education,0,0,0,50.0,TRUE,4986436,2017-06-29 17:06:22 UTC,2017-06-29 17:06:22 UTC,FALSE,0,0,NA
11023,680435,Graduated high school or not,0,0,0,50.0,TRUE,4986418,2017-06-29 17:06:16 UTC,2017-06-29 17:06:16 UTC,FALSE,0,0,NA
11023,680434,Parent's educational background,0,0,0,50.0,TRUE,4986419,2017-06-29 17:05:58 UTC,2017-06-29 17:05:58 UTC,FALSE,0,0,NA
11023,680433,How hard they strive to improve.,0,0,0,50.0,TRUE,4986417,2017-06-29 17:05:46 UTC,2017-06-29 17:05:46 UTC,FALSE,0,0,NA
11023,680431,FREE TO WORK TIME,0,0,0,50.0,TRUE,4986422,2017-06-29 17:05:19 UTC,2017-06-29 17:05:19 UTC,FALSE,0,0,NA
11023,680430,Training offered locally.,0,0,0,50.0,TRUE,4986417,2017-06-29 17:05:16 UTC,2017-06-29 17:05:16 UTC,FALSE,0,0,NA
11023,680429,Mother having a technical or supervisory job position,0,0,0,50.0,TRUE,4986424,2017-06-29 17:05:10 UTC,2017-06-29 17:05:10 UTC,FALSE,0,0,NA
11023,680428,Mothers education,0,0,0,50.0,TRUE,4986414,2017-06-29 17:04:44 UTC,2017-06-29 17:04:44 UTC,FALSE,0,0,NA
11023,680426,Father's education,0,0,0,50.0,TRUE,4986414,2017-06-29 17:04:16 UTC,2017-06-29 17:04:16 UTC,FALSE,0,0,NA
11023,680425,GOOD HABITS,0,0,0,50.0,TRUE,4986409,2017-06-29 17:03:18 UTC,2017-06-29 17:03:18 UTC,FALSE,0,0,NA
11023,680424,How self reliant they want to be.,0,0,0,50.0,TRUE,4986403,2017-06-29 17:02:03 UTC,2017-06-29 17:02:03 UTC,FALSE,0,0,NA
11023,680423,Father's IQ,0,0,0,50.0,TRUE,4986349,2017-06-29 17:01:36 UTC,2017-06-29 17:01:36 UTC,FALSE,0,0,NA
11023,680421,family cooperation,0,0,0,50.0,TRUE,4986383,2017-06-29 17:01:04 UTC,2017-06-29 17:01:04 UTC,FALSE,0,0,NA
11023,680420,What is the best prediction of job training? Age at childs birth or college grad,0,0,0,50.0,TRUE,4986377,2017-06-29 17:01:01 UTC,2017-06-29 17:01:01 UTC,FALSE,0,0,NA
11023,680419,Type of car they drive,0,0,0,50.0,TRUE,4986361,2017-06-29 17:00:32 UTC,2017-06-29 17:00:32 UTC,FALSE,0,0,NA
11023,680418,How motivated they are to succeed.,0,0,0,50.0,TRUE,4986372,2017-06-29 17:00:29 UTC,2017-06-29 17:00:29 UTC,FALSE,0,0,NA
11023,680417,Age of parent at time of birth,0,0,0,50.0,TRUE,4986384,2017-06-29 16:59:59 UTC,2017-06-29 16:59:59 UTC,FALSE,0,0,NA
11023,680416,What their work ethic is like.,0,0,0,50.0,TRUE,4986372,2017-06-29 16:59:58 UTC,2017-06-29 16:59:58 UTC,FALSE,0,0,NA
11023,680415,Mother's IQ,0,0,0,50.0,TRUE,4986349,2017-06-29 16:59:35 UTC,2017-06-29 16:59:35 UTC,FALSE,0,0,NA
11023,680413,Parental employment status,0,0,0,50.0,TRUE,4986360,2017-06-29 16:58:59 UTC,2017-06-29 16:58:59 UTC,FALSE,0,0,NA
11023,680412,Father's extracurricular activities,0,0,0,50.0,TRUE,4986368,2017-06-29 16:58:54 UTC,2017-06-29 16:58:54 UTC,FALSE,0,0,NA
11023,680411,Gross Yearly Income,0,0,0,50.0,TRUE,4986349,2017-06-29 16:57:25 UTC,2017-06-29 16:57:25 UTC,FALSE,0,0,NA
11023,679994,Father absent at time of birth,149,154,14,49.1803,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:28:51 UTC,TRUE,156,178,NA
11023,680008,Parents are in cohabiting partnership,153,178,9,46.2462,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:25:33 UTC,TRUE,191,167,NA
11023,679993,Existing number of siblings,142,172,10,45.2532,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:28:21 UTC,TRUE,185,162,NA
11023,680012,Divorce or separation,139,192,15,42.042,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:27:52 UTC,TRUE,188,175,NA
11023,680006,Never-married mother,106,171,27,38.3513,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:25:22 UTC,TRUE,163,160,NA
11023,680007,Number of parental romantic relationships,110,199,19,35.6913,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:25:33 UTC,TRUE,178,173,NA
11023,680005,Mother's prenatal smoking,101,187,14,35.1724,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:53:47 UTC,TRUE,168,158,NA
11023,680432,Father's interest in sports or entertainment,49,96,15,34.0136,TRUE,4986343,2017-06-29 17:05:30 UTC,2017-06-29 17:24:58 UTC,TRUE,83,80,NA
11023,680011,Child's race,107,215,25,33.3333,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:29:22 UTC,TRUE,187,175,NA
11023,679999,Foreign-born father,100,207,24,32.6861,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:28:29 UTC,TRUE,160,190,NA
11023,680000,Foreign-born mother,86,200,30,30.2083,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:29:29 UTC,TRUE,158,176,NA
11023,680010,Child's gender,71,232,17,23.6066,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:29:16 UTC,TRUE,168,178,NA
11023,679992,Child's birth weight,72,250,20,22.5309,FALSE,4985342,2017-06-29 01:23:48 UTC,2017-06-29 17:29:22 UTC,TRUE,168,191,NA
